Group_Name,Group_QID,Member_Name_EN,Member_Name_KO,Member_QID,Kind,Source
ALPHA DRIVE ONE,Q136378026,Sangwon,,Q136388152,GROUP,Wikidata_P463_P527
ALPHA DRIVE ONE,Q136378026,Xinlong,,Q137667477,GROUP,Wikidata_P463_P527
AMPERS&ONE,Q123458788,Brian Ho,브라이언 호,Q130218487,GROUP,Wikidata_P463_P527
AMPERS&ONE,Q123458788,Choi Ji-ho,최지호,Q130218347,GROUP,Wikidata_P463_P527
AMPERS&ONE,Q123458788,Kamden Winston Na,나캠든,Q130215845,GROUP,Wikidata_P463_P527
AMPERS&ONE,Q123458788,Kim Seung-mo,김승모,Q130222829,GROUP,Wikidata_P463_P527
AMPERS&ONE,Q123458788,Kyrell Valentine Choi,카이렐,Q130219374,GROUP,Wikidata_P463_P527
AMPERS&ONE,Q123458788,Mackiah Mercer,마카야,Q130222815,GROUP,Wikidata_P463_P527
AMPERS&ONE,Q123458788,Siyun,윤시윤,Q130218860,GROUP,Wikidata_P463_P527
AND2BLE,Q138948755,Han Yu-jin,한유진,Q117818067,GROUP,Wikidata_P463_P527
AND2BLE,Q138948755,Kim Gyu-vin,김규빈,Q117818049,GROUP,Wikidata_P463_P527
AND2BLE,Q138948755,Ricky Shen,리키,Q117817567,GROUP,Wikidata_P463_P527
AND2BLE,Q138948755,Yoo Seung-eon,유승언,Q139959901,GROUP,Wikidata_P463_P527
AND2BLE,Q138948755,Zhang Hao,장하오,Q117832250,GROUP,Wikidata_P463_P527
ANS,Q73795501,Bian,비안,Q73817100,GROUP,Wikidata_P463_P527
ANS,Q73795501,Dalyn,달린,Q73817097,GROUP,Wikidata_P463_P527
ANS,Q73795501,Dam I,담이,Q73817101,GROUP,Wikidata_P463_P527
ANS,Q73795501,Haena,해나,Q81812234,GROUP,Wikidata_P463_P527
ANS,Q73795501,J,제이,Q81811194,GROUP,Wikidata_P463_P527
ANS,Q73795501,Oh Se-jin,오세진,Q73817107,GROUP,Wikidata_P463_P527
ANS,Q73795501,Raon,라온,Q73817111,GROUP,Wikidata_P463_P527
ANS,Q73795501,Royeon,로연,Q73817106,GROUP,Wikidata_P463_P527
AOA,Q492035,Dohwa,도화,Q16767898,GROUP,Wikidata_P463_P527
AOA,Q492035,Kim Seolhyun,김설현,Q16173210,GROUP,Wikidata_P463_P527
AOA,Q492035,Kwon Mina,권민아,Q16171991,GROUP,Wikidata_P463_P527
AOA,Q492035,Park Cho-a,초아,Q16092089,GROUP,Wikidata_P463_P527
AOA,Q492035,Seo Youkyung,서유경,Q16767745,GROUP,Wikidata_P463_P527
AOA,Q492035,Seo Yu-na,유나,Q16767748,GROUP,Wikidata_P463_P527
AOA,Q492035,Shin Hye-jeong,혜정,Q16183324,GROUP,Wikidata_P463_P527
AOA,Q492035,Shin Ji-min,지민,Q16183093,GROUP,Wikidata_P463_P527
APRIL,Q20858387,Jeon So Min,소민,Q21058681,GROUP,Wikidata_P463_P527
APRIL,Q20858387,Kim Chae-won,김채원,Q21060406,GROUP,Wikidata_P463_P527
APRIL,Q20858387,Lee Hyun-joo,이현주,Q27920084,GROUP,Wikidata_P463_P527
APRIL,Q20858387,Lee Jin-sol,이진솔,Q25842431,GROUP,Wikidata_P463_P527
APRIL,Q20858387,Lee Na-eun,이나은,Q27658440,GROUP,Wikidata_P463_P527
APRIL,Q20858387,Rachel,레이첼,Q28063461,GROUP,Wikidata_P463_P527
APRIL,Q20858387,Yang Ye-na,양예나,Q27658442,GROUP,Wikidata_P463_P527
APRIL,Q20858387,Yoon Chae-kyung,윤채경,Q24859531,GROUP,Wikidata_P463_P527
ARIAZ,Q24834268,Choi Yeo-ri,최여리,Q80126990,GROUP,Wikidata_P463_P527
ARIAZ,Q24834268,Jang Hyog-yeong,장효경,Q80126992,GROUP,Wikidata_P463_P527
